"title","site","country","year_release","box_office","director","number_of_subjects","subject","type_of_subject","race_known","subject_race","person_of_color","subject_sex","lead_actor_actress"
"A Song to Remember","tt0038104","US",1945,NA,"Charles Vidor",1,"Frederic Chopin","Musician","Known","White",FALSE,"Male","Cornel Wilde"
"Abe Lincoln in Illinois","tt0032181","US",1940,NA,"John Cromwell",1,"Abraham Lincoln","World leader","Known","White",FALSE,"Male","Raymond Massey"
"Above and Beyond","tt0044324","US",1952,NA,"Melvin Frank, Norman Panama",1,"Paul Tibbets","Military","Unknown",NA,FALSE,"Male","Robert Taylor"
"Abraham Lincoln","tt0020620","US",1930,NA,"D.W. Griffith",1,"Abraham Lincoln","World leader","Known","White",FALSE,"Male","Walter Huston"
"Against the Ropes","tt0312329","US",2004,5880000,"Charles S. Dutton",1,"Jackie Kallen","Athlete","Unknown",NA,FALSE,"Female","Meg Ryan"
"Al Capone","tt0052543","US",1959,NA,"Richard Wilson",1,"Al Capone","Criminal","Known","White",FALSE,"Male","Rod Steiger"
"Alexander","tt0346491","US/UK",2004,34300000,"Oliver Stone",1,"Alexander the Great","Historical","Known","White",FALSE,"Male","Colin Farrell"
"Alexander the Great","tt0048937","US",1956,NA,"Robert Rossen",1,"Alexander the Great","Historical","Known","White",FALSE,"Male","Richard Burton"
"Ali","tt0248667","US",2001,58200000,"Michael Mann",1,"Muhammad Ali","Athlete","Known","African American",TRUE,"Male","Will Smith"
"Alpha Dog","tt0426883","US",2006,15200000,"Nick Cassavetes",1,"Jesse James Hollywood","Criminal","Unknown",NA,FALSE,"Male","Emile Hirsch"
"Amadeus","tt0086879","US",1984,366000,"Milos Forman",2,"Antonio Salieri","Musician","Known","White",FALSE,"Male","F. Murray Abraham"
"Amadeus","tt0086879","US",1984,366000,"Milos Forman",2,"Wolfgang Amadeus Mozart","Musician","Known","White",FALSE,"Male","Tom Hulce"
"Amazing Grace","tt0454776","US/UK",2006,21200000,"Michael Apted",1,"William Wilberforce","Other","Known","White",FALSE,"Male","Ioan Gruffudd"
"Amelia","tt1129445","US/Canada",2009,14200000,"Mira Nair",1,"Amelia Earhart","Other","Known","White",FALSE,"Female","Hilary Swank"
"American Gangster","tt0765429","US/UK",2007,1.3e+08,"Ridley Scott",1,"Frank Lucas","Criminal","Known","African American",TRUE,"Male","Denzel Washington"
"American Me","tt0103671","US",1992,13100000,"Edward James Olmos",1,"Rodolfo Cadena","Criminal","Known","Hispanic (Latino)",TRUE,"Male","Edward James Olmos"
"American Sniper","tt2179136","US",2014,3.5e+08,"Clint Eastwood",1,"Chris Kyle","Military","Unknown",NA,FALSE,"Male","Bradley Cooper"
"American Splendor","tt0305206","US",2003,6e+06,"Shari Springer Berman, Robert Pulcini",1,"Harvey Pekar","Comedian","Known","White",FALSE,"Male","Paul Giamatti"
"An American Crime","tt0802948","US",2007,NA,"Tommy O'Haver",2,"Gertrude Baniszewski","Criminal","Known","White",FALSE,"Female","Catherine Keener"
"An American Crime","tt0802948","US",2007,NA,"Tommy O'Haver",2,"Sylvia Likens","Other","Unknown",NA,FALSE,"Female","Ellen Page"
"An Angel at My Table","tt0099040","UK",1990,1100000,"Jane Campion",1,"Janet Frame","Author","Known","White",FALSE,"Female","Kerry Fox"
"Anastasia","tt0048947","US",1956,NA,"Anatole Litvak",1,"Anna Anderson / Anastasia","Other","Known","White",FALSE,"Female","Ingrid Bergman"
"Anna and the King of Siam","tt0038303","US",1946,NA,"John Cromwell",1,"Anna Leonowens","Other","Known","Multi racial",FALSE,"Female","Irene Dunne"
"Annie Get Your Gun","tt0042200","US",1950,8e+06,"George Sidney",1,"Annie Oakley","Athlete","Known","White",FALSE,"Female","Betty Hutton"
"Annie Oakley","tt0026073","US",1935,NA,"George Stevens",1,"Annie Oakley","Athlete","Known","White",FALSE,"Female","Barbara Stanwyck"
"Another Country","tt0086904","UK",1984,NA,"Marek Kanievska",1,"Guy Burgess","Military","Unknown",NA,FALSE,"Male","Rupert Everett"
"Antwone Fisher","tt0168786","US",2002,21100000,"Denzel Washington",1,"Antwone Fisher","Military","Known","African American",TRUE,"Male","Derek Luke"
"Auto Focus","tt0298744","US",2002,2060000,"Paul Schrader",1,"Robert Edward ""Bob"" Crane","Actor","Known","White",FALSE,"Male","Greg Kinnear"
"Awakenings","tt0099077","US",1990,52100000,"Penny Marshall",1,"Oliver Sacks","Medicine","Known","White",FALSE,"Male","Robin Williams"
"Baadasssss!","tt0367790","US",2003,365000,"Mario Van Peebles",1,"Melvin Van Peebles","Actor","Known","African American",TRUE,"Male","Mario Van Peebles"
"Baader","tt0309320","UK",2002,NA,"Christopher Roth",1,"Andreas Baader","Military","Known","White",FALSE,"Male","Frank Giering"
"Backbeat","tt0106339","UK",1994,2390000,"Iain Softley",2,"John Lennon","Musician","Known","White",FALSE,"Male","Ian Hart"
"Backbeat","tt0106339","UK",1994,2390000,"Iain Softley",2,"Stuart Sutcliffe","Musician","Known","White",FALSE,"Male","Stephen Dorff"
"Bandit Queen","tt0109206","UK",1994,4e+05,"Shekhar Kapur",1,"Phoolan Devi","Criminal","Known","Indian",TRUE,"Female","Seema Biswas"
"Barabbas","tt0055774","US",1961,NA,"Richard Fleischer",1,"Barabbas","Historical","Known","White",FALSE,"Male","Anthony Quinn"
"Basquiat","tt0115632","US",1996,2960000,"Julian Schnabel",1,"Jean-Michel Basquiat","Artist","Known","Multi racial",TRUE,"Male","Jeffrey Wright"
"Bathory: Countess of Blood","tt0469640","UK",2008,NA,"Juraj Jakubisko",1,"Elizabeth Bathory","Criminal","Known","White",FALSE,"Female","Anna Friel"
"Battle Hymn","tt0050171","US",1957,NA,"Douglas Sirk",1,"Dean Hess","Military","Unknown",NA,FALSE,"Male","Rock Hudson"
"Beau Brummell","tt0046759","US",1954,NA,"Curtis Bernhardt",1,"George Brummell","Other","Known","White",FALSE,"Male","Stewart Granger"
"Becket","tt0057877","US/UK",1964,NA,"Peter Glenville",2,"King Henry II","Historical","Known","White",FALSE,"Male","Peter O'Toole"
"Becket","tt0057877","US/UK",1964,NA,"Peter Glenville",2,"Thomas Becket","Historical","Known","White",FALSE,"Male",NA
"Becoming Jane","tt0416508","UK",2007,18700000,"Julian Jarrold",1,"Jane Austen","Author","Known","White",FALSE,"Female","Anne Hathaway"
"Before Night Falls","tt0247196","US",2000,4220000,"Julian Schnabel",1,"Reinaldo Arenas","Activist","Known","Hispanic (Latin American)",TRUE,"Male","Javier Bardem"
"Behind the Lines","tt0120001","Canada/UK",1997,19300,"Gillies MacKinnon",1,"Siegfried Loraine Sassoon","Military","Known","Multi racial",FALSE,"Male","James Wilby"
"Bernard and Doris","tt0470732","US",2006,NA,"Bob Balaban",2,"Bernard Lafferty","Other","Known","White",FALSE,"Male","Ralph Fiennes"
"Bernard and Doris","tt0470732","US/UK",2006,NA,"Bob Balaban",2,"Doris Duke","Other","Known","White",FALSE,"Female","Susan Sarandon"
"Best","tt0181311","UK",2000,NA,"Mary McGuckian",1,"George Best","Athlete","Known","White",FALSE,"Male","John Lynch"
"Beyond the Law","tt0103805","US",1993,NA,"Larry Ferguson",1,"Dan Black","Other","Unknown",NA,FALSE,"Male","Charlie Sheen"
"Beyond the Sea","tt0363473","US/UK",2004,6140000,"Kevin Spacey",1,"Bobby Darin","Musician","Known","White",FALSE,"Male","Kevin Spacey"
"Big Eyes","tt1126590","US/Canada",2014,14500000,"Tim Burton",1,"Margaret Keane","Artist","Known","White",FALSE,"Female","Amy Adams"
"Billy the Kid","tt0033389","US",1941,NA,"David Miller",1,"Henry McCarty (Billy the Kid)","Criminal","Known","White",FALSE,"Male","Robert Taylor"
"Bird","tt0094747","US",1988,2180000,"Clint Eastwood",1,"Charlie ""Bird"" Parker","Musician","Known","Multi racial",TRUE,"Male","Forest Whitaker"
"Birdman of Alcatraz","tt0055798","US",1962,NA,"John Frankenheimer",1,"Robert Franklin Stroud","Criminal","Unknown",NA,FALSE,"Male","Burt Lancaster"
"Blaze","tt0096943","US",1989,19100000,"Ron Shelton",1,"Earl Long","Politician","Known","White",FALSE,"Male","Paul Newman"
"Bloodsport","tt0092675","US",1988,11800000,"Newt Arnold",1,"Frank Dux","Athlete","Unknown",NA,FALSE,"Male","Jean-Claude Van Damme"
"Blossoms in the Dust","tt0033407","US",1941,NA,"Mervyn LeRoy",1,"Edna Gladney","Other","Unknown",NA,FALSE,"Female","Greer Garson"
"Blow","tt0221027","US",2001,52900000,"Ted Demme",1,"George Jung","Criminal","Known","White",FALSE,"Male","Johnny Depp"
"Blue","tt0106438","UK",1993,1720000,"Derek Jarman",1,"Derek Jarman","Other","Unknown",NA,FALSE,"Male","Derek Jarman"
"Blue Caprice","tt2027064","US",2013,86700,"Alexandre Moors",1,"John Allen Muhammad","Criminal","Known","African American",TRUE,"Male","Isaiah Washington"
"Bobby Jones: Stroke of Genius","tt0375104","US",2004,2690000,"Rowdy Herrington",1,"Bobby Jones","Athlete","Unknown",NA,FALSE,"Male","Jim Caviezel"
"Bonnie and Clyde","tt0061418","US",1967,NA,"Arthur Penn",2,"Clyde Barrow","Criminal","Unknown",NA,FALSE,"Male","Warren Beatty"
"Bonnie and Clyde","tt0061418","US",1967,NA,"Arthur Penn",2,"Bonnie Parker","Criminal","Unknown",NA,FALSE,"Female","Faye Dunaway"
"Born on the Fourth of July","tt0096969","US",1989,7e+07,"Oliver Stone",1,"Ron Kovic","Military / activist","Unknown",NA,FALSE,"Male","Tom Cruise"
"Bound for Glory","tt0074235","US",1976,NA,"Hal Ashby",1,"Woody Guthrie","Singer","Known","White",FALSE,"Male","David Carradine"
"Boys Don't Cry","tt0171804","US",1999,11500000,"Kimberly Peirce",1,"Brandon Teena","Other","Unknown",NA,FALSE,"Male","Hilary Swank"
"Boys Town","tt0029942","US",1938,NA,"Norman Taurog",1,"Father Edward Flanagan","Other","Known","White",FALSE,"Male","Spencer Tracy"
"Braveheart","tt0112573","US",1995,75600000,"Mel Gibson",1,"William Wallace","Military","Known","White",FALSE,"Male","Mel Gibson"
"Breach","tt0401997","US",2007,3.3e+07,"Billy Ray",1,"Robert Hanssen","Criminal","Known","White",FALSE,"Male","Chris Cooper"
"Brigham Young","tt0032281","US",1940,NA,"Henry Hathaway",1,"Brigham Young","Other","Known","White",FALSE,"Male","Dean Jagger"
"Bright Star","tt0810784","UK",2009,4440000,"Jane Campion",2,"John Keats","Author (poet)","Known","White",FALSE,"Male","Ben Whishaw"
"Bright Star","tt0810784","UK",2009,4440000,"Jane Campion",2,"Fanny Brawne","Other","Unknown",NA,FALSE,"Female","Abbie Cornish"
"Bronson","tt1172570","UK",2008,105000,"Nicolas Winding Refn",1,"Charles Bronson","Criminal","Unknown",NA,FALSE,"Male","Tom Hardy"
"Brother Sun, Sister Moon","tt0069824","UK",1972,NA,"Franco Zeffirelli",1,"St. Francis of Assisi","Historical","Known","White",FALSE,"Male","Graham Faulkner"
"Bubble Boy","tt0258470","US",2001,5e+06,"Blair Hayes",1,"David Vetter","Medicine","Unknown",NA,FALSE,"Male","Jake Gyllenhaal"
"Buffalo Bill","tt0036677","US",1944,NA,"William A. Wellman",1,"William Cody","Other","Known","White",FALSE,"Male","Joel McCrea"
"Bugsy","tt0101516","US",1991,49100000,"Barry Levinson",1,"Ben 'Bugsy' Siegel","Criminal","Known","White",FALSE,"Male","Warren Beatty"
"Burning Blue","tt1811307","US",2013,NA,"D.M.W. Greer With: Trent Ford, Tammy Blanchard, Morgan Spector",1,"DMW Greer","Military","Unknown",NA,FALSE,"Male","Trent Ford"
"Buster","tt0094819","UK",1988,540000,"David Green",1,"Buster Edwards","Criminal","Unknown",NA,FALSE,"Male","Phil Collins"
"Butch Cassidy and the Sundance Kid","tt0064115","US",1969,1.02e+08,"George Roy Hill",2,"Butch Cassidy (Robert Leroy Parker)","Criminal","Known","White",FALSE,"Male","Paul Newman"
"Butch Cassidy and the Sundance Kid","tt0064115","US",1969,1.02e+08,"George Roy Hill",2,"Harry Longabaugh","Criminal","Known","White",FALSE,"Male","Robert Redford"
"Cadillac Records","tt1042877","US",2008,8130000,"Darnell Martin",3,"Etta James","Singer","Known","African American",TRUE,"Female","BeyoncÃ© Knowles"
"Cadillac Records","tt1042877","US",2008,8130000,"Darnell Martin",3,"Muddy Water","Musician","Known","African American",TRUE,"Male","Jeffrey Wright"
"Cadillac Records","tt1042877","US",2008,8130000,"Darnell Martin",3,"Leonard Chess","Musician","Known","White",FALSE,"Male","Adrien Brody"
"Caesar and Cleopatra","tt0038390","UK",1945,NA,"Gabriel Pascal",2,"Julius Caesar","Historical","Known","White",FALSE,"Male","Claude Rains"
"Caesar and Cleopatra","tt0038390","UK",1945,NA,"Gabriel Pascal",2,"Cleopatra","Historical","Known","Middle Eastern",TRUE,"Female","Vivien Leigh"
"Callas Forever","tt0274407","UK",2002,446000,"Franco Zeffirelli",1,"Maria Callas","Singer","Known","Mediterranean",FALSE,"Female","Fanny Ardant"
"Cannibal! The Musical","tt0115819","US",1993,NA,"Trey Parker",1,"Alferd Packer","Criminal","Unknown",NA,FALSE,"Male","Trey Parker"
"Capone","tt0072761","US",1975,NA,"Steve Carver",1,"Al Capone","Criminal","Known","White",FALSE,"Male","Ben Gazzara"
"Capote","tt0379725","US/Canada",2005,28700000,"Bennett Miller",1,"Truman Capote","Author","Unknown",NA,FALSE,"Male","Philip Seymour Hoffman"
"Captain Kidd","tt0037576","US",1945,NA,"Rowland V. Lee",1,"William Kidd","Historical","Known","White",FALSE,"Male","Charles Laughton"
"Captain Phillips","tt1535109","US",2013,1.07e+08,"Paul Greengrass",1,"Richard Phillips","Military","Unknown",NA,FALSE,"Male","Tom Hanks"
"Caravaggio","tt0090798","UK",1986,3150,"Derek Jarman",1,"Michelangelo Merisi de Caravaggio","Artist","Known","White",FALSE,"Male","Multiple"
"Carbine Williams","tt0044480","US",1952,NA,"Richard Thorpe",1,"David Marshall Williams","Other","Unknown",NA,FALSE,"Male","James Stewart"
"Carrington","tt0112637","UK",1995,3240000,"Christopher Hampton",2,"Lytton Strachey","Author","Known","White",FALSE,"Male","Jonathan Pryce"
"Carrington","tt0112637","UK",1995,3240000,"Christopher Hampton",2,"Dora Carrington","Artist","Known","White",FALSE,"Female","Emma Thompson"
"Carve Her Name with Pride","tt0051454","UK",1958,NA,"Lewis Gilbert",1,"Violette Bushell Szabo","Military","Known","White",FALSE,"Female","Virginia McKenna"
"Casino","tt0112641","US",1995,42400000,"Martin Scorsese",1,"Frank ""Lefty"" Rosenthal","Criminal","Unknown",NA,FALSE,"Male","Robert De Niro"
"Casino Jack","tt1194417","Canada",2010,1040000,"George Hickenlooper",1,"Jack Abramoff","Other","Unknown",NA,FALSE,"Male","Kevin Spacey"
"Cass","tt0954981","UK",2008,NA,"Jon S. Baird",1,"Cass Pennant","Other","Known","Caribbean",TRUE,"Male","Nonso Anozie"
"Catch a Fire","tt0437232","US/UK",2006,4290000,"Phillip Noyce",1,"Patrick Chamusso","Activist","Known","African",TRUE,"Male","Derek Luke"
"Catch Me If You Can","tt0264464","US/Canada",2002,1.64e+08,"Steven Spielberg",1,"Frank Abagnale Jr.","Criminal","Unknown",NA,FALSE,"Male","Leonardo DiCaprio"
"Cesar Chavez","tt1621046","US",2014,5550000,"Diego Luna",1,"Cesar Chavez","Activist","Known","Hispanic (Latino)",TRUE,"Male","Michael PeÃ±a"
"Chaplin","tt0103939","US",1992,9490000,"Richard Attenborough",1,"Charles Spencer Chaplin","Comedian","Known","White",FALSE,"Male","Robert Downey Jr."
"Charlie Wilson's War","tt0472062","US",2007,66600000,"Mike Nichols",1,"Charlie Wilson","Military","Unknown",NA,FALSE,"Male","Tom Hanks"
"Chasing Mavericks","tt1629757","US",2012,6e+06,"Michael Apted, Curtis Hanson",1,"Jay Moriarity","Athlete","Unknown",NA,FALSE,"Male","Jonny Weston"
"Chattahoochee","tt0099242","US",1989,259000,"Mick Jackson",1,"Emmett Foley","Military","Unknown",NA,FALSE,"Male","Gary Oldman"
"Che: Part One","tt0892255","US",2008,1730000,"Steven Soderbergh",1,"Che Guevara","Activist","Known","Hispanic (Latin American)",FALSE,"Male","Benicio Del Toro"
"Che: Part Two","tt0374569","US",2008,NA,"Steven Soderbergh",1,"Che Guevara","Activist","Known","Hispanic (Latin American)",FALSE,"Male","DemiÃ¡n Bichir"
"Che!","tt0064158","US",1969,2e+06,"Richard Fleischer",1,"Che Guevara","Activist","Known","Hispanic (Latin American)",FALSE,"Male","Omar Sharif"
"Chisum","tt0065547","US",1970,6e+06,"Andrew V. McLaglen",1,"John Chisum","Other","Unknown",NA,FALSE,"Male","John Wayne"
"Christopher Columbus: The Discovery","tt0103962","US/UK",1992,8250000,"John Glen",1,"Christopher Columbus","Other","Known","White",FALSE,"Male","Georges Corraface"
"Ciao Manhattan","tt0068379","US",1972,NA,"John Palmer, David Weisman",1,"Edie Sedgwick","Actress","Known","White",FALSE,"Female","Edie Sedgwick"
"Cinderella Man","tt0352248","US",2005,61600000,"Ron Howard",1,"James Braddock","Athlete","Known","White",FALSE,"Male","Russell Crowe"
"Cleopatra","tt0024991","US",1934,NA,"Cecil B. DeMille",1,"Cleopatra","Historical","Known","Middle Eastern",TRUE,"Female","Claudette Colbert"
"Cleopatra","tt0056937","US/UK",1963,57800000,"Joseph L. Mankiewicz",1,"Cleopatra","Historical","Known","Middle Eastern",TRUE,"Female","Elizabeth Taylor"
"Coal Miner's Daughter","tt0080549","US",1980,79900000,"Michael Apted",1,"Loretta Lynn","Singer","Known","Multi racial",TRUE,"Female","Sissy Spacek"
"Cobb","tt0109450","US",1994,1010000,"Ron Shelton",1,"Ty Cobb","Athlete","Known","White",FALSE,"Male","Tommy Lee Jones"
"Communion","tt0097100","US/UK",1989,1920000,"Philippe Mora",1,"Whitley Strieber","Other","Unknown",NA,FALSE,"Male","Christopher Walken"
"Compulsion","tt0052700","US",1959,NA,"Richard Fleischer",2,"Nathan Leopold Jr.","Criminal","Known","White",FALSE,"Male","Dean Stockwell/Bradford Dillman"
"Compulsion","tt0052700","US",1959,NA,"Richard Fleischer",2,"Richard Loeb","Criminal","Known","White",FALSE,"Male","Dean Stockwell/Bradford Dillman"
"Confessions of a Dangerous Mind","tt0270288","US/Canada",2002,NA,"George Clooney",1,"Chuck Barris","Actor","Unknown",NA,FALSE,"Male","Sam Rockwell"
"Control","tt0421082","US/UK",2007,872000,"Anton Corbijn",1,"Ian Curtis","Musician","Unknown",NA,FALSE,"Male","Sam Riley"
"Conviction","tt1244754","US",2010,6780000,"Tony Goldwyn",1,"Betty Anne Waters","Other","Unknown",NA,FALSE,"Female","Hilary Swank"
"Copying Beethoven","tt0424908","US",2006,353000,"Agnieszka Holland",1,"Ludwig van Beethoven","Musician","Known","White",FALSE,"Male","Ed Harris"
"Counterpunch","tt2051850","US",2013,NA,"Kenneth Castillo",1,"Alvaro Orlando","Athlete","Known","Hispanic (Latino)",TRUE,"Male","Alvaro Orlando"
"Creation","tt0974014","UK",2009,341000,"Jon Amiel",1,"Charles Darwin","Academic","Unknown",NA,FALSE,"Male","Paul Bettany"
"Cromwell","tt0065593","UK",1970,NA,"Ken Hughes",1,"Oliver Cromwell","Historical","Known","White",FALSE,"Male","Richard Harris"
"Cross Creek","tt0085380","US",1983,2e+05,"Martin Ritt",1,"Marjorie Kinnan Rawlings","Author","Unknown",NA,FALSE,"Female","Mary Steenburgen"
"Crutch","tt0422029","US",2004,NA,"Rob Moretti",1,"Rob Moretti","Actor","Unknown",NA,FALSE,"Male","Eben Gordon"
"Cry Freedom","tt0092804","UK",1987,5900000,"Richard Attenborough",1,"Steve Biko","Activist","Known","African",TRUE,"Male","Denzel Washington"
"Custer of the West","tt0062844","US",1967,NA,"Robert Siodmak",1,"George Armstrong Custer","Military","Known","White",FALSE,"Male","Robert Shaw"
"Dahmer","tt0285728","US",2002,NA,"David Jacobson",1,"Jeffrey Dahmer","Criminal","Known","White",FALSE,"Male","Jeremy Renner"
"Dallas Buyers Club","tt0790636","US",2013,27300000,"Jean-Marc VallÃƒÂ©e",1,"Ron Woodroof","Activist","Unknown",NA,FALSE,"Male","Matthew McConaughey"
"Dance with a Stranger","tt0088987","UK",1985,138000,"Mike Newell",1,"Ruth Ellis","Criminal","Unknown",NA,FALSE,"Female","Miranda Richardson"
"Dangerous Beauty","tt0118892","US",1998,4530000,"Marshall Herskovitz",1,"Veronica Franco","Other","Known","White",FALSE,"Female","Catherine McCormack"
"Dangerous Minds","tt0112792","US",1995,84900000,"John N. Smith",1,"Louanne Johnson","Teacher","Known","White",FALSE,"Female","Michelle Pfeiffer"
"De-Lovely","tt0352277","US/UK",2004,13300000,"Irwin Winkler",1,"Cole Porter","Musician","Known","White",FALSE,"Male","Kevin Kline"
"Death in Granada","tt0117106","US",1996,226000,"Marcos Zurinaga",1,"Garcia Lorca","Author","Known","Hispanic (White)",FALSE,"Male","Andy Garcia"
"Desert Dancer","tt2403393","UK",2014,144000,"Richard Raymond",1,"Afshin Ghaffarian","Artist","Known","Middle Eastern",TRUE,"Male","Reece Ritchie"
"Desert Flower","tt1054580","UK",2009,44300,"Sherry Hormann",1,"Waris Dirie","Activist","Known","African",TRUE,"Female","Soraya Omar-Scego (young) and Liya Kebede (older)"
"DÃ©sirÃ©e","tt0046903","US",1954,NA,"Henry Koster",2,"DÃ©sirÃ©e Clary","Historical","Known","White",FALSE,"Female","Jean Simmons"
"DÃ©sirÃ©e","tt0046903","US",1954,NA,"Henry Koster",2,"Napoleon Bonaparte","Historical","Known","White",FALSE,"Male","Marlon Brando"
"Devil's Knot","tt0804463","US",2013,NA,"Atom Egoyan",3,"Damien Echols","Criminal","Unknown",NA,FALSE,"Male","James Hamrick"
"Devil's Knot","tt0804463","US",2013,NA,"Atom Egoyan",3,"Jason Baldwin","Criminal","Unknown",NA,FALSE,"Male","Seth Meriwether"
"Devil's Knot","tt0804463","US",2013,NA,"Atom Egoyan",3,"Jessie Misskelley, Jr.","Criminal","Unknown",NA,FALSE,"Male","Kristopher Higgins"
"Devotion","tt0038474","US",1946,NA,"Curtis Bernhardt",3,"Charlotte Bronte","Author","Known","White",FALSE,"Female","Olivia de Havilland"
"Devotion","tt0038474","US",1946,NA,"Curtis Bernhardt",3,"Emily Bronte","Author","Known","White",FALSE,"Female","Ida Lupino"
"Devotion","tt0038474","US",1946,NA,"Curtis Bernhardt",3,"Anne Bronte","Author","Known","White",FALSE,"Female","Nancy Coleman"
"Diana","tt1758595","UK",2013,332000,"Oliver Hirschbiegel",1,"Princess Diana","Other","Known","White",FALSE,"Female","Naomi Watts"
"Digging Up the Marrow","tt1991031","US",2014,NA,"Adam Green",1,"Adam Green","Other","Unknown",NA,FALSE,"Male","Adam Green"
"Dillinger","tt0037644","US",1945,4e+06,"Max Nosseck",1,"John Dillinger","Criminal","Known","White",FALSE,"Male","Lawrence Tierney"
"Dillinger","tt0069976","US",1973,NA,"John Milius",1,"John Dillinger","Criminal","Unknown",NA,FALSE,"Male","Warren Oates"
"Disraeli","tt0019823","US",1929,NA,"Alfred E. Green",1,"Benjamin Disraeli","World leader","Known","White",FALSE,"Male","George Arliss"
"Domino","tt0421054","US/UK",2005,10100000,"Tony Scott",1,"Domino Harvey","Other","Known","White",FALSE,"Female","Keira Knightley"
"Donnie Brasco","tt0119008","US",1997,4.2e+07,"Mike Newell",1,"Joe Pistone (alias Donnie Brasco)","Government","Known","White",FALSE,"Male","Johnny Depp"
"Downtown 81","tt0208993","US",1981,1e+05,"Edo Bertoglio",1,"Jean-Michel Basquiat","Artist","Known","Multi racial",TRUE,"Male","Jean Michel Basquiat"
"Dr. Ehrlich's Magic Bullet","tt0032413","US",1940,NA,"William Dieterle",1,"Paul Ehrlich","Medicine","Known","White",FALSE,"Male","Edward G. Robinson"
"Dragon: The Bruce Lee Story","tt0106770","US",1993,35100000,"Rob Cohen",1,"Bruce Lee","Athlete","Known","Asian American",TRUE,"Male","Jason Scott Lee"
"Dreamchild","tt0089052","UK",1985,NA,"Gavin Millar",1,"Alice Liddell Hargreaves","Other","Unknown",NA,FALSE,"Female","Coral Browne"
"Ed Gein","tt0230169","US/UK",2000,5710,"Chuck Parello",1,"Ed Gein","Criminal","Unknown",NA,FALSE,"Male","Steve Railsback"
